Lemma,ID,Eng Gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Example Sentence,Translation,Reference,Topic(s),
бегать,1426,run,V,A2,"Golosa, LM, МН",2,бегать,Imperf.Inf,Я привыкла бегать по вечерам после работы.,I’ve gotten in the habit of jogging in the evenings after work.,_,"свободное время, здоровье",
бегать,1427,run,V,A2,"Golosa, LM, МН",3,бегала,Imperf.Fem.Sing.Past,"Я никогда не бегала так быстро, как вчера на тренировке.",I never ran as fast as I did yesterday at practice.,_,"свободное время, здоровье",
бежать,1428,run,V,A2,LM,1,бежать,Imperf.Inf,"Я увидел перекресток и не знал, куда бежать дальше: налево или направо?",I saw an intersection and didn’t know which way to run next: to the left or to the right?,_,свободное время,
бежать,1429,run,V,A2,LM,2,бежит,Imperf.Sing.3,Передо мной по дороге бежит маленький мальчик.,There is a little boy running on the road in front of me.,_,свободное время,
бежать,1430,run,V,A2,LM,3,бежал,Imperf.Masc.Sing.Past,"Мы спокойно шли по лесу, а наш пёс весело бежал впереди по дорожке.",We were slowly walking in the forest and our dog was cheerfully running on the path ahead of us.,_,свободное время,
берег,1431,shore,N.Masc.Inan,A2,LM,1,берегу,Loc.Sing,"На берегу реки не росло ничего, кроме двух берез.",There was nothing growing on the riverside except for two birches.,_,путешествие,
берег,1432,shore,N.Masc.Inan,A2,LM,2,берег,Acc.Sing,"Наша экскурсия по Темзе закончилась, и мы спустились на берег.",Our excursion on the river Thames was over and we got off on the river bank.,_,путешествие,
берег,1433,shore,N.Masc.Inan,A2,LM,3,берега,Gen.Sing,"Корабль быстро отплывал от берега, и скоро его совсем перестало быть видно.",The ship sailed away from the shore and soon it couldn’t be seen at all.,_,путешествие,
беречь,1434,protect,V,A2,LM,1,беречь,Imperf.Inf,Летом важно беречь кожу от солнца!,In summer it’s important to protect your skin from the sun!,_,люди,
беречь,1435,protect,V,A2,LM,2,берёг,Imperf.Masc.Sing.Past,"В путешествии он почти ничего не покупал, потому что берёг деньги.",He bought very little during his trip because he was saving money.,_,люди,
беречь,1436,protect,V,A2,LM,3,берегла,Imperf.Fem.Sing.Past,"Она берегла руки при игре в волейбол, потому что работала пианисткой.",She was protecting her hands while playing volleyball because she was working as a pianist.,_,люди,
беседовать,1437,converse,V,A2,LM,1,беседовали,Imperf.Plur.Past,Вчера мы два часа беседовали с соседями о воспитании детей.,Yesterday we talked for 2 hours about child-rearing with the neighbors.,_,"люди, общение",
беседовать,1438,converse,V,A2,LM,2,беседуем,Imperf.Plur.1,Мы беседуем с местными жителями и выясняем их мнение о городе.,We are talking to the locals to find out their opinion about the city.,_,"люди, общение",
беседовать,1439,converse,V,A2,LM,3,беседовать,Imperf.Inf,У него не было времени беседовать со мной о литературе.,He didn't have time to chat with me about literature.,_,"люди, общение",
бесплатный,1440,free,A,A2,"LM, Golosa",1,бесплатного,Gen.Masc.Sing,В аэропорту Стамбула нет бесплатного интернета.,There isn’t free internet in the Istanbul airport.,_,магазин,
бесплатный,1441,free,A,A2,"LM, Golosa",2,бесплатная,Nom.Fem.Sing,"Вода на этом фестивале — бесплатная, а за еду придется платить.","Water is free in this festival, but you have to pay for food.",_,магазин,
бесплатный,1442,free,A,A2,"LM, Golosa",3,бесплатной,Gen.Fem.Sing,В некоторых странах нет бесплатной медицины.,Some countries don’t have free medical care.,_,магазин,
1443 -- 1445 deleted,,,,,,,,,,,,,
биография,1446,biography,N.Fem.Inan,A2,LM,1,биография,Nom.Sing,Его биография меня не интересует — я оцениваю человека по личному общению.,His biography doesn’t interest me — I evaluate people according to personal communication.,_,люди,
биография,1447,biography,N.Fem.Inan,A2,LM,2,биографии,Gen.Sing,На лекции мы узнали много интересных фактов из биографии Толстого.,During the lecture we found out many interesting facts from Tolstoy’s biography.,_,люди,
биография,1448,biography,N.Fem.Inan,A2,LM,3,биографию,Acc.Sing,"Если посмотреть на его биографию, становится понятно, почему он уехал из России.","If you look at his biography, it becomes clear why he left Russia.",_,люди,
бить,1449,hit,V,A2,LM,1,бьёт,Imperf.Sing.3,"Что делать, если видишь, как кто-то бьёт своего ребенка?",What should you do if you see that someone is hitting their child?,_,люди,
бить,1450,hit,V,A2,LM,2,бить,Imperf.Inf,В футболе запрещено бить по мячу руками.,It’s against the rules to hit the ball with one’s hands in soccer.,_,люди,
бить,1451,hit,V,A2,LM,3,бил,Imperf.Masc.Sing.Past,"Муж часто бил свою жену, поэтому она ушла от него.",The husband often beat his wife so she left him.,_,люди,
благодарить,1452,thank,V,A2,LM,1,благодарю,Imperf.Sing.1,"— Возьмите, пожалуйста, ваш билет! — Благодарю!","— Please, take your ticket! — Thank you!",_,"люди, общение",
благодарить,1453,thank,V,A2,LM,2,благодарит,Imperf.Sing.3,Режиссёр благодарит актёров за спектакль.,The director thanks the actors for the show.,_,"люди, общение",
благодарить,1454,thank,V,A2,LM,3,благодарил,Imperf.Masc.Sing.Past,Я встретил Ваню вчера. Он благодарил меня за подарок на день рождения.,I met Vanya yesterday. He thanked me for the birthday present.,_,"люди, общение",
бог,1455,god,N.Masc.Anim,A2,"MiP, LM",1,бог,Nom.Sing,"Некоторые верят, что человека создал бог.",Some people believe that human beings were created by god.,_,"люди, внутренний мир",
бог,1456,god,N.Masc.Anim,A2,"MiP, LM",2,богу,Dat.Sing,В трудных ситуациях он обращался к богу.,In difficult situations he turned to god.,_,"люди, внутренний мир",
бог,1457,god,N.Masc.Anim,A2,"MiP, LM",3,бога,Gen.Sing,Не спрашивайте меня об этом ради бога!,For god’s sake don’t ask me about it!,_,"люди, внутренний мир",
больница,1458,hospital,N.Fem.Inan,A2,"Golosa, LM",1,больнице,Loc.Sing,"Вася не может работать, он сейчас в больнице.","Vanya can’t work, he’s in the hospital now.",_,здоровье,
больница,1459,hospital,N.Fem.Inan,A2,"Golosa, LM",2,больницу,Acc.Sing,Он идёт в больницу навестить своего дедушку.,He’s going to the hospital to visit his grandfather.,_,здоровье,
больница,1460,hospital,N.Fem.Inan,A2,"Golosa, LM",3,больницы,Gen.Sing,Она вернулась из больницы в пятницу.,She came back from hospital on Friday.,_,здоровье,
булочка,1461,pastry,N.Fem.Inan,A2,"Golosa, MiP, LM, МН",1,булочки,Nom.Plur,Это самые вкусные булочки в пекарне. Попробуйте!,These are the most delicious pastries in the bakery. Taste them!,_,"еда, магазин",
бумага,1462,paper,N.Fem.Inan,A2,LM,1,бумаги,Gen.Sing,Мне нужна ручка и лист бумаги.,I need a pen and a piece of paper.,_,учёба/работа,
бумага,1463,paper,N.Fem.Inan,A2,LM,2,бумагу,Acc.Sing,Запишите ваши предложения на бумагу.,Write down your suggestions on paper.,_,учёба/работа,
бумага,1464,paper,N.Fem.Inan,A2,LM,3,бумаге,Loc.Sing,Перед выступлением я всегда записываю свою речь на бумаге.,I always write my speech on paper ahead of time.,_,учёба/работа,
бутерброд,1465,sandwich,N.Masc.Inan,A2,"Golosa, MiP, LM, МН",1,бутерброды,Acc.Plur,Мама дала нам в школу бутерброды.,Mom gave us sandwiches to take to school.,_,еда,
бутерброд,1466,sandwich,N.Masc.Inan,A2,"Golosa, MiP, LM, МН",2,бутербродах,Loc.Plur,Я не люблю сыр в бутербродах.,I don’t like cheese in sandwiches.,_,еда,
бутерброд,1467,sandwich,N.Masc.Inan,A2,"Golosa, MiP, LM, МН",3,бутербродами,Ins.Plur,После уроков мы выпили чай с бутербродами.,After class we drank tea with sandwiches.,_,еда,
бутылка,1468,bottle,N.Fem.Inan,A2,"Golosa, MiP, LM",1,бутылку,Acc.Sing,В спортзал я беру бутылку воды.,I take a bottle of water to the gym.,_,"еда, магазин",
бутылка,1469,bottle,N.Fem.Inan,A2,"Golosa, MiP, LM",2,бутылки,Gen.Sing,"Налей мне молока из большой бутылки, пожалуйста!","Pour me some milk from the big bottle, please!",_,"еда, магазин",
бутылка,1470,bottle,N.Fem.Inan,A2,"Golosa, MiP, LM",3,бутылок,Gen.Plur,Я не люблю пить сок из бутылок.,I don’t like to drink juice from bottles.,_,"еда, магазин",
бывать,1471,be somewhere,V,A2,"Golosa, MiP, LM, МН",1,бывает,Imperf.Sing.3,Он часто бывает в этом городе — здесь живёт его мама.,He’s in this city often — his mother lives here.,_,"люди, путешествие",
бывать,1472,be somewhere,V,A2,"Golosa, MiP, LM, МН",2,бывают,Imperf.Plur.3,"Розы бывают разных цветов, но я люблю только белые.",Roses can be of different colors but I only like white ones.,_,"люди, путешествие",
бывать,1473,be somewhere,V,A2,"Golosa, MiP, LM, МН",3,бывало,Imperf.Neut.Sing.Past,"С вами бывало такое, что вы прочитали книгу, но ничего не поняли?",Has it ever happened to you that you read a book but didn’t understand anything?,_,"люди, путешествие",
быстрый,1474,fast,A,A2,"Golosa, LM",1,быстрого,Gen.Neut.Sing,Я не хожу в рестораны быстрого питания.,I don’t go to fast food restaurants.,_,описание,
быстрый,1475,fast,A,A2,"Golosa, LM",2,быстрое,Nom.Neut.Sing,Быстрое таяние льдов Арктики беспокоит учёных.,Rapid melting of ice in the Arctic worries scientists.,_,описание,
быстрый,1476,fast,A,A2,"Golosa, LM",3,быстрой,Gen.Fem.Sing,Какой русский не любит быстрой езды?,What Russian doesn’t like a fast ride?,Н.В.Гоголь «Мёртвые души»,описание,
важный,1477,important,A,A2,"Golosa, LM",1,важно,Adverb,В самолёте важно слушать указания экипажа.,It's important to listen to the cabin crew’s instructions on a plane.,_,люди,
важный,1478,important,A,A2,"Golosa, LM",2,важное,Nom.Neut.Sing,"Маша сказала, что рождение ребёнка — самое важное событие в её жизни.",Masha said that giving birth to her child is the most important event in her life.,_,люди,
важный,1479,important,A,A2,"Golosa, LM",3,важную,Acc.Fem.Sing,Музыка играет важную роль в моей жизни.,Music plays an important role in my life.,_,люди,
варить,1480,boil,V,A2,LM,1,варить,Imperf.Inf,Как варить борщ? Мне нужен рецепт.,How to cook borsht? I need a recipe.,_,"еда, свободное время",
варить,1481,boil,V,A2,LM,2,варят,Imperf.Plur.3,Они уже пожарили мясо и теперь варят картошку.,They’ve already roasted the meat and now they’re boiling the potatoes.,_,"еда, свободное время",
варить,1482,boil,V,A2,LM,3,варили,Imperf.Plur.Past,"Как называется суп, который мы вчера варили?",What’s the name of the soup that we made yesterday?,_,"еда, свободное время",
везти,1483,be lucky,V,A2,"LM, Поехали",1,везёт,Imperf.Sing.3,Ему не везёт в любви.,He isn’t lucky in love.,_,люди,
везти,1484,bring,V,A2,"LM, Поехали",2,везли,Imperf.Plur.Past,До двадцатого века грузы из Америки везли только по морю.,Until the 20th century people transported goods from America only by sea.,_,"люди, путешествие",
везти,1485,be lucky,V,A2,"LM, Поехали",3,везло,Imperf.Neut.Sing.Past,Мне никогда не везло в футболе — наша команда всегда проигрывала.,I was never lucky in soccer — our team always loses.,_,люди,
вера,1486,faith,N.Fem.Inan,A2,LM,1,вера,Nom.Sing,Вера в бога даёт некоторым людям надежду.,Believing in god gives hope to some people.,_,"люди, внутренний мир",
вера,1487,faith,N.Fem.Inan,A2,LM,2,веры,Gen.Sing,Сложно быть успешным без веры в себя.,It's difficult to be successful without believing in yourself.,_,"люди, внутренний мир",
вера,1488,faith,N.Fem.Inan,A2,LM,3,веру,Acc.Sing,В Средние века люди были готовы умереть за свою веру.,In the Middle ages people were ready to die for their beliefs.,_,"люди, внутренний мир",
верить,1489,believe,V,A2,"LM, МН",1,верить,Imperf.Inf,Я хочу верить в чудеса.,I want to believe in miracles.,_,"люди, внутренний мир",
верить,1490,believe,V,A2,"LM, МН",2,верю,Imperf.Sing.1,"Я не верю тому, что он говорит.",I don't believe what he says.,_,"люди, внутренний мир",
верить,1491,believe,V,A2,"LM, МН",3,верит,Imperf.Sing.3,Почему она мне не верит?,Why doesn’t she believe me?,_,"люди, внутренний мир",
вернуть,1492,return,V,A2,"MiP, LM",1,вернуть,Perf.Inf,"Мой телефон сломался, я хочу вернуть деньги за него.","My phone got broken, I want to get back my money for it.",_,"люди, общение",
вернуть,1493,return,V,A2,"MiP, LM",2,вернули,Perf.Plur.Past,Ему всё ещё не вернули машину из сервиса.,The garage hasn’t given him his car back yet.,_,"люди, общение",
вернуть,1494,return,V,A2,"MiP, LM",3,вернула,Perf.Fem.Sing.Past,Ты вернула книги в библиотеку вовремя?,Did you return the books to the library in time?,_,"люди, общение",
вернуться,1495,come back,V,A2,"MiP, LM, МН",1,вернулся,Perf.Masc.Sing.Past,Папа вернулся с работы.,Dad has come back from work.,_,"люди, путешествие",
вернуться,1496,come back,V,A2,"MiP, LM, МН",2,вернуться,Perf.Inf,Мне нужно срочно вернуться в Москву!,I need to return to Moscow immediately!,_,"люди, путешествие",
вернуться,1497,come back,V,A2,"MiP, LM, МН",3,вернулись,Perf.Plur.Past,Мы вернулись из Рима на прошлой неделе.,We came back from Rome last week.,_,"люди, путешествие",
весенний,1498,spring,A,A2,LM,1,весеннего,Gen.Masc.Sing,Я люблю шум весеннего ветра.,I love the sound of the spring wind.,_,"время, погода",
весенний,1499,spring,A,A2,LM,2,весенний,Nom.Masc.Sing,Какой чудесный весенний день сегодня! Пойдём гулять!,What a lovely spring day today! Let’s go for a walk!,_,"время, погода",
весенний,1500,spring,A,A2,LM,3,весеннюю,Acc.Fem.Sing,Я очень люблю весеннюю погоду.,I really like spring weather.,_,"время, погода",
ветер,1501,wind,N.Masc.Inan,A2,"Golosa, LM",1,ветер,Nom.Sing,"Не люблю, когда ветер дует мне прямо в лицо.",I don’t like it when the wind blows straight into my face.,_,погода,
ветер,1502,wind,N.Masc.Inan,A2,"Golosa, LM",2,ветра,Gen.Sing,Сильный порыв ветра вчера сломал дерево перед нашим домом.,A strong gust of wind broke the tree in front of our house yesterday.,_,погода,
ветер,1503,wind,N.Masc.Inan,A2,"Golosa, LM",3,ветром,Ins.Sing,С северным ветром в город пришла плохая погода.,Bad weather came to the city with the north wind.,_,погода,
вещь,1504,thing,N.Fem.Inan,A2,"Golosa, LM, Поехали",1,вещей,Gen.Plur,Без каких вещей вы не можете жить?,What are the things you can’t live without?,_,"жильё, магазин",
вещь,1505,thing,N.Fem.Inan,A2,"Golosa, LM, Поехали",2,вещи,Acc.Plur,"Пожалуйста, не забывайте в автобусе личные вещи.","Please, don’t forget your personal items in the bus.",_,"жильё, магазин",
вещь,1506,thing,N.Fem.Inan,A2,"Golosa, LM, Поехали",3,вещь,Nom.Sing,Смартфон — незаменимая вещь в двадцать первом веке.,A smart phone is an indispensable thing in the 21st century.,_,"жильё, магазин",
вид,1507,form,N.Masc.Inan,A2,"Golosa, MiP, LM",1,виде,Loc.Sing,Я купила дочке рюкзак в виде зайца. ,I bought my daughter a backpack that looks like a rabbit.,_,описание,
вид,1508,form,N.Masc.Inan,A2,"Golosa, MiP, LM",2,виду,Loc.Sing,"Имей в виду, что мы вернёмся в город только завтра.",Keep in mind that we won’t return to the city before tomorrow.,_,описание,
вид,1509,species,N.Masc.Inan,A2,"Golosa, MiP, LM",3,видов,Gen.Plur,В этом озере водится двадцать видов рыб.,There are 20 species of fish in this lake.,_,описание,
вилка,1510,fork,N.Fem.Inan,A2,"LM, МН",1,вилкой,Ins.Sing,"Моя мама ест суши вилкой, а не палочками.","My mom eats sushi with a fork, not with chopsticks.",_,еда,
вилка,1511,fork,N.Fem.Inan,A2,"LM, МН",2,вилок,Gen.Plur,"Принеси, пожалуйста, ещё пять вилок.",Please bring 5 more forks.,_,еда,
вилка,1512,fork,N.Fem.Inan,A2,"LM, МН",3,вилку,Acc.Sing,Мой ребёнок вчера научился держать вилку.,My child learned how to use a fork yesterday.,_,еда,
висеть,1513,hang,V,A2,"Golosa, LM, МН",1,висит,Imperf.Sing.3,На правой стене висит моя новая картина.,There is my new painting hanging on the wall to the right.,_,жильё,
висеть,1514,hang,V,A2,"Golosa, LM, МН",2,висел,Imperf.Masc.Sing.Past,"Мы подошли к двери, но на ней висел замок.",We went up to the door but there was a lock hanging on it.,_,жильё,
висеть,1515,hang,V,A2,"Golosa, LM, МН",3,висела,Imperf.Fem.Sing.Past,В детстве у меня над кроватью висела большая карта мира.,When I was a child I had a big map of the world hanging above my bed.,_,жильё,
включать,1516,turn on,V,A2,"Golosa, LM, МН",1,включает,Imperf.Sing.3,Он приходит на работу и первым делом включает компьютер.,He comes to work and the first thing that he does is turn the computer on.,_,"учёба/работа, жильё",
включать,1517,turn on,V,A2,"Golosa, LM, МН",2,включать,Imperf.Inf,Моя бабушка не умеет включать компьютер и всегда просит меня помочь.,My grandma doesn’t know how to turn on a computer so she always asks me to help her.,_,"учёба/работа, жильё",
включать,1518,turn on,V,A2,"Golosa, LM, МН",3,включают,Imperf.Plur.3,Зимой городское освещение включают уже в пять вечера.,In winter the city lights are turned on at five PM.,_,"учёба/работа, жильё",
включить,1519,turn on,V,A2,МН,1,включить,Perf.Inf,"Я не могу включить проектор. Помогите, пожалуйста!","I can’t turn on the projector. Help me, please!",_,"учёба/работа, жильё",
включить,1520,turn on,A,A2,МН,2,включены,Perf.PastPassiveParticiple.Plur,Авиабилеты включены в стоимость тура.,Plane tickets are included in the price of the package tour.,_,"учёба/работа, жильё",
включить,1521,turn on,V,A2,МН,3,включил,Perf.Masc.Sing.Past,Папа включил детям мультик и ушёл на кухню.,The father put on a cartoon for his kids and went to the kitchen.,_,"учёба/работа, жильё",
вкусный,1522,tasty,A,A2,"Golosa, MiP, LM, МН",1,вкусно,Adverb,Моя мама так вкусно готовит!,My mom cooks so well!,_,еда,
вкусный,1523,tasty,A,A2,"Golosa, MiP, LM, МН",2,вкусные,Nom.Plur,"В этой пекарне очень вкусные круассаны, а вот пирожки — так себе.","The croissants in this bakery are so delicious, but the pies are not so nice.",_,еда,
вкусный,1524,tasty,A,A2,"Golosa, MiP, LM, МН",3,вкусны,Plur,"Фисташки не только вкусны, но ещё и полезны — в них много витаминов.",Pistachios are not only tasty but also good for one’s health — they contain lots of vitamins.,_,еда,
власть,1525,power,N.Fem.Inan,A2,LM,1,власти,Gen.Sing,Брежневу удавалось оставаться у власти восемнадцать лет.,Brezhnev managed to stay inl power for 18 years.,_,"люди, политика",
власть,1526,power,N.Fem.Inan,A2,LM,2,власть,Nom.Sing,Власть привлекает людей.,Power attracts people.,_,"люди, политика",
власть,1527,power,N.Fem.Inan,A2,LM,3,властей,Gen.Plur,Лондон резко отреагировал на заявления российских властей.,London reacted sharply to the Russian authorities’ claims.,_,"люди, политика",
внимание,1528,attention,N.Neut.Inan,A2,"Golosa, LM",1,внимание,Acc.Sing,Обратите внимание: завтра занятий не будет!,Attention: no classes tomorrow!,_,"люди, внутренний мир",
внимание,1529,attention,N.Neut.Inan,A2,"Golosa, LM",2,внимания,Gen.Sing,Не оставляйте детей в воде без внимания даже на пять минут.,Don’t leave children in the water unattended even for 5 minutes.,_,"люди, внутренний мир",
внимание,1530,attention,N.Neut.Inan,A2,"Golosa, LM",3,вниманием,Ins.Sing,С самого детства она была окружена вниманием и заботой.,From her very childhood she was surrounded with attention and care.,_,"люди, внутренний мир",
внимательный,1531,attentive,A,A2,LM,1,внимательны,Plur,В толпе будьте особенно внимательны к своим вещам.,Be very careful to your belongings in the crowd.,_,"люди, внутренний мир, описание",
внимательный,1532,attentive,A,A2,LM,2,внимательные,Nom.Plur,"Внимательные слушатели заметили, что в прошлой передаче мы допустили ошибку. Действительно, Венера, а не Марс — вторая планета от Солнца.","Attentive listeners to our program noticed that we made a mistake during our last program: indeed, Venus, not Mars, is the second planet from the Sun.",_,"люди, внутренний мир, описание",
внимательный,1533,attentive,A,A2,LM,3,внимательными,Ins.Plur,"Её глаза были умными и внимательными, а улыбка — очень доброй.",Her eyes were intelligent and attentive and her smile — very kind.,_,"люди, внутренний мир, описание",
водить,1534,drive,V,A2,"LM, Поехали",1,водит,Imperf.Sing.3,Она водит машину уже двадцать лет.,He's been driving for 20 years already.,_,"люди, транспорт",
водить,1535,drive,V,A2,"LM, Поехали",2,водил,Imperf.Masc.Sing.Past,Я никогда ещё не водил трактор.,I’ve never driven a tractor.,_,"люди, транспорт",
водить,1536,drive,V,A2,"LM, Поехали",3,водя,Imperf.Gerund,"Он читал очень внимательно, водя пальцем по строчкам.","He was reading very carefully, running his finger along the lines.",_,"люди, транспорт",
водка,1537,vodka,N.Fem.Inan,A2,"MiP, LM, МН",1,водки,Gen.Sing,Вдвоём за вечер они выпили целую бутылку водки!,The two of them drank a whole bottle of vodka in one evening!,_,"еда, магазин",
водка,1538,vodka,N.Fem.Inan,A2,"MiP, LM, МН",2,водку,Acc.Sing,Он быстро разлил водку по стопкам и раздал их гостям.,He quickly poured vodka into the shot glasses and gave them to the guests.,_,"еда, магазин",
водка,1539,vodka,N.Fem.Inan,A2,"MiP, LM, МН",3,водка,Nom.Sing,К часу ночи водка закончилась и мы решили открыть коньяк.,By 1 AM the vodka was gone and we decided to open the cognac.,_,"еда, магазин",
возвращать,1540,return,V,A2,LM,1,возвращают,Imperf.Plur.3,Деньги за товар возвращают только если он не был распакован.,Money for a product can be returned only if the package wasn’t opened.,_,общение,
возвращать,1541,return,V,A2,LM,2,возвращает,Imperf.Sing.3,Запах булочек с корицей возвращает меня в детство.,The smell of cinnamon buns returns me to childhood.,_,общение,
возвращать,1542,return,V,A2,LM,3,возвращать,Imperf.Inf,"В какой-то момент стало понятно, что он не собирается возвращать мне долг.",At some point it became clear that he isn’t planning to return me what he owes.,_,общение,
возвращаться,1543,return,V,A2,"Golosa, MiP, LM",1,возвращается,Imperf.Sing.3,Завтра из командировки возвращается папа!,Tomorrow dad is coming back from his business trip!,_,"люди, путешествие",
возвращаться,1544,return,V,A2,"Golosa, MiP, LM",2,возвращаться,Imperf.Inf,"Честно говоря, это не тот город, в который хочется возвращаться.","Frankly speaking, this isn’t a city one would like to come back to.",_,"люди, путешествие",
возвращаться,1545,return,V,A2,"Golosa, MiP, LM",3,возвращаясь,Imperf.Gerund,"Каждый раз возвращаясь в Россию, я долго не могу привыкнуть к ценам в рублях.",Every time I come back to Russia it takes me a a long time to get used to prices in roubles.,_,"люди, путешествие",
воздух,1546,air,N.Masc.Inan,A2,"LM, Поехали",1,воздуха,Gen.Sing,Ни одно живое существо на планете не может прожить без воздуха.,No living creature on this planet can survive without air.,_,погода,
воздух,1547,air,N.Masc.Inan,A2,"LM, Поехали",2,воздухе,Loc.Sing,В воздухе чувствовался неприятный запах серы.,There was an unpleasant smell of sulfur in the air.,_,погода,
воздух,1548,air,N.Masc.Inan,A2,"LM, Поехали",3,воздух,Nom.Sing,Воздух в Москве недостаточно чистый.,The air in Moscow is not clean enough.,_,погода,
возить,1549,convey,V,A2,"LM, Поехали",1,возить,Imperf.Inf,С сентября мне придётся каждое утро возить детей в школу на другой конец города.,Starting from September I’ll have to drive the kids to school on the other end of the city.,_,"люди, путешествие",
возить,1550,convey,V,A2,"LM, Поехали",2,возила,Imperf.Fem.Sing.Past,В детстве мама каждое лето возила меня на море.,My mom used to take me to the sea every summer when I was a child.,_,"люди, путешествие",
возить,1551,convey,V,A2,"LM, Поехали",3,возили,Imperf.Plur.Past,В школе нас часто возили на соревнования по легкой атлетике.,At school they often used to take us to track meets.,_,"люди, путешествие",
возраст,1552,age,N.Masc.Inan,A2,"Golosa, LM",1,возрасте,Loc.Sing,В вашем возрасте вредно волноваться.,At your age it's not good for your health to get worried.,_,люди,
возраст,1553,age,N.Masc.Inan,A2,"Golosa, LM",2,возраста,Gen.Sing,Легче всего научить музыке детей дошкольного возраста.,It is easiest to teach music to children when they are preschoolers.,_,люди,
возраст,1554,age,N.Masc.Inan,A2,"Golosa, LM",3,возраст,Nom.Sing,Пять лет — мой любимый возраст у детей.,Five years old is my favorite age for children.,_,люди,
война,1555,war,N.Fem.Inan,A2,"MiP, LM",1,войны,Gen.Sing,Дома на этой улице были разрушены во время войны.,The buildings on this street were destroyed during the war.,_,политика,
война,1556,war,N.Fem.Inan,A2,"MiP, LM",2,война,Nom.Sing,Вторая мировая война закончилась в 1945 году.,The Second World war ended in 1945.,_,политика,
война,1557,war,N.Fem.Inan,A2,"MiP, LM",3,войну,Acc.Sing,Их сын ушёл на войну и не вернулся.,Their son went to war and never came back.,_,политика,
войти,1558,enter,V,A2,MiP,1,вошли,Perf.Plur.Past,"Мы вошли в дом, но никого в нём не увидели.",We entered the house but didn’t see anybody inside.,_,люди,
войти,1559,enter,V,A2,MiP,2,вошёл,Perf.Masc.Sing.Past,"Он вошёл в кухню и увидел, что мама варит суп.",He entered the kitchen and saw that his mom was cooking soup.,_,люди,
войти,1560,enter,V,A2,MiP,3,войти,Perf.Inf,Он умел войти в любой кабинет — для него не существовало закрытых дверей.,He could enter any office — no door was closed to him.,_,люди,
волноваться,1561,worry,V,A2,"Golosa, LM",1,волноваться,Imperf.Inf,Как не волноваться перед выступлением?,How can one not worry before giving a speech?,_,люди,
волноваться,1562,worry,V,A2,"Golosa, LM",2,волнуйся,Imperf.Imper.Sing.2,"Не волнуйся, ты сдашь экзамен!","Don't worry, you’ll pass that exam!",_,люди,
волноваться,1563,worry,V,A2,"Golosa, LM",3,волнуется,Imperf.Sing.3,"Он так волнуется, что не может есть.",He is so worried that he can’t eat.,_,люди,
волос,1564,hair,N.Masc.Inan,A2,LM,1,волосы,Acc.Plur,Она хочет покрасить волосы в синий цвет. Остановите её!,She wants to dye her hair blue. Somebody stop her!,_,"люди, описание",
