approved,changed by Laura,changed by me,problem,,,,,,,,
математика,mathematics,N.Fem.Inan,A1,"Golosa, MiP, МН",3,математике,Dat.Sing,Вася очень старался и получил 4 по математике.,Vasya has worked hard and received a good mark at maths.,_,учеба/работа
фирма,firm,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",1,фирмы,Gen.Sing,Николай - директор этой фирмы.,Nikolay is the director of this firm.,_,учеба/работа
фирма,firm,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",2,фирма,Nom.Sing,Фирма Volvo выпустила новый автомобиль.,Volvo released a new automobile.,_,учеба/работа
фирма,firm,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",3,фирм,Gen.Plur,В области торговли работает много мелких фирм.,There are a lot of small-business firms in commerce.,_,учеба/работа
писатель,writer,N.Masc.Anim,A1,"Golosa, MiP, МН",1,писатель,Nom.Sing,Лев Толстой - знаменитый русский писатель.,Leo Tolstoy is a famous Russian writer.,_,"учеба/работа, люди"
писатель,writer,N.Masc.Anim,A1,"Golosa, MiP, МН",2,писателя,Gen.Sing,В кабинете писателя много книг.,There are a lot of books in the writer's office.,_,"учеба/работа, люди"
писатель,writer,N.Masc.Anim,A1,"Golosa, MiP, МН",3,писателей,Gen.Plur,Недавно вышел сборник с текстами молодых писателей.,A collection of poems written by young writers came out recently.,_,"учеба/работа, люди"
мальчик,boy,N.Masc.Anim,A1,"LM, МН",1,мальчик,Nom.Sing,Мальчик гуляет во дворе.,A boy is walking in the yard.,_,люди
мальчик,boy,N.Masc.Anim,A1,"LM, МН",2,мальчика,Acc.Sing,Я вижу мальчика.,I see a boy.,_,люди
мальчик,boy,N.Masc.Anim,A1,"LM, МН",3,мальчики,Nom.Plur,Мальчики играют в футбол.,The boys are playing football.,_,люди
экономический,economic,A,A1,"Golosa, МН",1,экономических,Gen.Plur,Александр - кандидат экономических наук.,Alexandr has Ph.D. in Economics.,_,"учеба/работа, политика"
экономический,economic,A,A1,"Golosa, МН",2,экономической,Gen.Fem.Sing,Главная задача сейчас - обеспечение экономической стабильности.,The main goal now is to ensure economic stability.,_,"учеба/работа, политика"
экономический,economic,A,A1,"Golosa, МН",3,экономического,Gen.Masc.Sing,Министр экономического развития прокомментировал эту ситуацию.,Minister of Economic Development has commented on this situation,_,"учеба/работа, политика"
номер,"room, number",N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,номер,Nom.Sing,Наш номер в отеле чистый и просторный.,Our hotel room is clear and spacious.,_,"жилье, люди"
номер,"room, number",N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,номере,Loc.Sing,В номере есть холодильник?,Is there a refrigerator in the room?,_,"жилье, люди"
номер,"room, number",N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,номеров,Gen.Plur,Мы хотим забронировать 5 одноместных номеров.,We want to book 5 single rooms.,_,"жилье, люди"
документ,document,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,документов,Gen.Plur,Летом начинается подача документов в университеты.,Submission of university applications starts in summer.,_,"учеба/работа, люди"
документ,document,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,документы,Acc.Plur,Перед поездкой нужно подготовить все документы.,We need to prepare all the documents before the trip.,_,"учеба/работа, люди"
документ,document,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,документа,Gen.Sing,Я сделаю копию этого документа.,I'll make a copy of this document.,_,"учеба/работа, люди"
метр,meter,N.Masc.Inan,A1,"Golosa, MiP, МН",1,метров,Gen.Plur,Высота этого дома - примерно 20 метров.,This building is about 20 meters tall.,_,мера
метр,meter,N.Masc.Inan,A1,"Golosa, MiP, МН",2,м,Gen.Plur,Глубина бассейна - 3 м.,The depth of the swimming pool is 3 metres.,_,мера
метр,meter,N.Masc.Inan,A1,"Golosa, MiP, МН",3,метрах,Loc.Plur,Ширина обоев обычно указана в метрах.,The width of wallpaper is usually specified in meters.,_,мера
билет,ticket,N.Masc.Inan,A1,"Golosa, MiP, LM, МН, Поехали",1,билетов,Gen.Plur,Нам нужно купить 5 билетов на поезд.,We need to buy 5 train tickets.,_,"путешествие, свободное время"
билет,ticket,N.Masc.Inan,A1,"Golosa, MiP, LM, МН, Поехали",2,билеты,Acc.Plur,Мы купили билеты и пошли смотреть кино.,We bought tickets and went to the movie theater.,_,"путешествие, свободное время"
билет,ticket,N.Masc.Inan,A1,"Golosa, MiP, LM, МН, Поехали",3,билет,Acc.Sing,"Когда поедешь в аэропорт, не забудь билет на самолет.",Don't forget your ticket when going to the airport.,_,"путешествие, свободное время"
половина,half,N.Fem.Inan,A1,"MiP, МН",1,половиной,Ins.Sing,Сколько лет твоей дочке? Три с половиной.,How old is your daughter? She is three and a half.,_,мера
половина,half,N.Fem.Inan,A1,"MiP, МН",2,половины,Gen.Sing,Пушкин - поэт первой половины 19-го века.,Pushkin is a poet of the first half of the 19th century.,_,мера
половина,half,N.Fem.Inan,A1,"MiP, МН",3,половина,Nom.Sing,"Уже половина первого, я опаздываю!","It's half past twelve already, I'm late!",_,мера
солнце,sun,N.Neut.Inan,A1,"MiP, LM, МН",1,солнце,Nom.Sing,"Сегодня тепло, светит солнце.","Today it's warm, the sun is shining.",_,путешествие
солнце,sun,N.Neut.Inan,A1,"MiP, LM, МН",2,солнца,Gen.Sing,"Сегодня облачно, солнца нет.","Today it's cloudy, there is no sun.",_,путешествие
солнце,sun,N.Neut.Inan,A1,"MiP, LM, МН",3,солнцем,Ins.Sing,Каждый человек ищет свое место под солнцем.,Everyone is looking for his place in the sun.,_,путешествие
желание,desire,N.Neut.Inan,A1,МН,1,желание,Nom.Sing,"Ура, мое желание сбылось!","Hooray, my wish came true!",_,внутренний мир
желание,desire,N.Neut.Inan,A1,МН,2,желания,Gen.Sing,У меня нет желания приходить завтра.,I have no desire to come tomorrow.,_,внутренний мир
желание,desire,N.Neut.Inan,A1,МН,3,желании,Loc.Sing,При желании я смогу одновременно учиться и работать.,"If I want to, I can study and work at the same time.",_,внутренний мир
завод,factory,N.Masc.Inan,A1,"Golosa, MiP, МН",1,заводе,Loc.Sing,Мой дедушка работал на заводе.,My grandfather worked in a factory.,_,учеба/работа
завод,factory,N.Masc.Inan,A1,"Golosa, MiP, МН",2,завода,Gen.Sing,Александр - директор этого завода.,Alexandr is the director of this factory.,_,учеба/работа
завод,factory,N.Masc.Inan,A1,"Golosa, MiP, МН",3,завод,Nom.Sing,Наш завод находится в Москве.,Our factory is located in Moscow.,_,учеба/работа
пить,drink,V,A1,"Golosa, MiP, LM, МН",1,пить,Inf,Я хочу пить.,I'm thirsty.,_,еда
пить,drink,V,A1,"Golosa, MiP, LM, МН",2,пил,Masc.Sing.Past,Ты пил вчера на вечеринке?,Did you drink alcohol at the party yesterday?,_,еда
пить,drink,V,A1,"Golosa, MiP, LM, МН",3,пили,Plur.Past,"Вчера мы были в гостях, пили сок и вино.",Yesterday we visited our friends and drank juice and wine.,_,еда
