Lemma,ID,Eng Gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Example Sentence,Translation,Reference,Topic(s),,
фирма,483,company,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",3,фирм,Gen.Plur,В области торговли работает много мелких фирм.,There are a lot of small-businesses in commerce.,_,учёба/работа,,
писатель,484,writer,N.Masc.Anim,A1,"Golosa, MiP, МН",1,писатель,Nom.Sing,Лев Толстой – знаменитый русский писатель.,Leo Tolstoy is a famous Russian writer.,_,"учёба/работа, люди",,
писатель,485,writer,N.Masc.Anim,A1,"Golosa, MiP, МН",2,писателя,Gen.Sing,В кабинете писателя много книг.,There are a lot of books in the writer's office.,_,"учёба/работа, люди",,
писатель,486,writer,N.Masc.Anim,A1,"Golosa, MiP, МН",3,писателей,Gen.Plur,Недавно вышел сборник с текстами молодых писателей.,A collection of poems written by young writers came out recently.,_,"учёба/работа, люди",,
мальчик,487,boy,N.Masc.Anim,A1,"LM, МН",1,мальчик,Nom.Sing,Мальчик гуляет во дворе.,A boy is walking in the yard.,_,люди,,
мальчик,488,boy,N.Masc.Anim,A1,"LM, МН",2,мальчика,Acc.Sing,Я вижу мальчика.,I see a boy.,_,люди,,
мальчик,489,boy,N.Masc.Anim,A1,"LM, МН",3,мальчики,Nom.Plur,Мальчики играют в футбол.,The boys are playing soccer.,_,люди,,
экономический,490,economic,A,A1,"Golosa, МН",1,экономических,Gen.Plur,Александр – кандидат экономических наук.,Alexandеr has а Ph.D. in Economics.,_,"учёба/работа, политика",,
экономический,491,economic,A,A1,"Golosa, МН",2,экономической,Gen.Fem.Sing,Главная задача сейчас – обеспечение экономической стабильности.,The main goal now is to ensure economic stability.,_,"учёба/работа, политика",,
экономический,492,economic,A,A1,"Golosa, МН",3,экономического,Gen.Masc.Sing,Министр экономического развития прокомментировал эту ситуацию.,The Minister of Economic Development has commented on this situation,_,"учёба/работа, политика",,
номер,493,room,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,номер,Nom.Sing,Наш номер в отеле чистый и просторный.,Our hotel room is clean and spacious.,_,"жильё, люди",,
номер,494,room,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,номере,Loc.Sing,В номере есть холодильник?,Is there a refrigerator in the room?,_,"жильё, люди",,
номер,495,room,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,номеров,Gen.Plur,Мы хотим забронировать 5 одноместных номеров.,We want to book 5 single rooms.,_,"жильё, люди",,
номер,493а,number,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,номер,Acc.Sing,Я запишу твой номер телефона.,I'll write down your telephone number.,_,учёба/работа,,
номер,494а,number,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,номера,Gen.Sing,У меня нет номера Маши.,I don't have Masha's number.,_,учёба/работа,,
номер,495а,number,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,номером,Ins.Sing,Я отправила вам письмо с номером телефона Саши.,I've sent you an e-mail with Sasha's phone number.,_,учёба/работа,,
документ,496,document,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,документов,Gen.Plur,Летом начинается подача документов в университеты.,Submission of university applications starts in the summer.,_,"учёба/работа, люди",,
документ,497,document,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,документы,Acc.Plur,Перед поездкой нужно подготовить все документы.,We need to prepare all the documents before the trip.,_,"учёба/работа, люди",,
документ,498,document,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,документа,Gen.Sing,Я сделаю копию этого документа.,I'll make a copy of this document.,_,"учёба/работа, люди",,
метр,499,meter,N.Masc.Inan,A1,"Golosa, MiP, МН",1,метров,Gen.Plur,Высота этого дома – примерно двадцать метров.,This building is about 20 meters tall.,_,мера,,
метр,500,meter,N.Masc.Inan,A1,"Golosa, MiP, МН",2,метра,Gen.Sing,"Васе пять лет, его рост уже больше метра.","Vasya is five years old, and he is already more than a meter tall.",_,мера,,
метр,501,meter,N.Masc.Inan,A1,"Golosa, MiP, МН",3,метрах,Loc.Plur,Магазин находится в пяти метрах от станции метро.,The shop is 5 meters away from the metro station.,_,мера,,
билет,502,ticket,N.Masc.Inan,A1,"Golosa, MiP, LM, МН, Поехали",1,билетов,Gen.Plur,Нам нужно купить пять билетов на поезд.,We need to buy 5 train tickets.,_,"путешествие, свободное время",,
билет,503,ticket,N.Masc.Inan,A1,"Golosa, MiP, LM, МН, Поехали",2,билеты,Acc.Plur,Мы купили билеты и пошли смотреть кино.,We bought tickets and went to the movie theater.,_,"путешествие, свободное время",,
билет,504,ticket,N.Masc.Inan,A1,"Golosa, MiP, LM, МН, Поехали",3,билет,Acc.Sing,"Когда поедешь в аэропорт, не забудь билет на самолёт.",Don't forget your plane ticket when you go to the airport.,_,"путешествие, свободное время",,
половина,505,half,N.Fem.Inan,A1,"MiP, МН",1,половиной,Ins.Sing,Сколько лет твоей дочке? Три с половиной.,How old is your daughter? She is three and a half.,_,мера,,
половина,506,half,N.Fem.Inan,A1,"MiP, МН",2,половины,Gen.Sing,Пушкин – поэт первой половины девятнадцатого века.,Pushkin is a poet from the first half of the 19th century.,_,мера,,
половина,507,half,N.Fem.Inan,A1,"MiP, МН",3,половина,Nom.Sing,"Уже половина первого, я опаздываю!","It's half past twelve already, I'm late!",_,мера,,
солнце,508,sun,N.Neut.Inan,A1,"MiP, LM, МН",1,солнце,Nom.Sing,"Сегодня тепло, светит солнце.","Today it's warm, the sun is shining.",_,путешествие,,
солнце,509,sun,N.Neut.Inan,A1,"MiP, LM, МН",2,солнца,Gen.Sing,"Сегодня облачно, солнца нет.","Today it's cloudy, there is no sun.",_,путешествие,,
солнце,510,sun,N.Neut.Inan,A1,"MiP, LM, МН",3,солнцем,Ins.Sing,Каждый человек ищет своё место под солнцем.,Everyone is looking for his place in the sun.,_,путешествие,,
желание,511,desire,N.Neut.Inan,A1,МН,1,желание,Nom.Sing,"Ура, моё желание сбылось!","Hooray, my wish came true!",_,внутренний мир,,
желание,512,desire,N.Neut.Inan,A1,МН,2,желания,Gen.Sing,У меня нет желания приходить завтра.,I have no desire to come tomorrow.,_,внутренний мир,,
желание,513,desire,N.Neut.Inan,A1,МН,3,желании,Loc.Sing,При желании я смогу одновременно учиться и работать.,"If I want to, I can study and work at the same time.",_,внутренний мир,,
завод,514,factory,N.Masc.Inan,A1,"Golosa, MiP, МН",1,заводе,Loc.Sing,Мой дедушка работал на заводе.,My grandfather worked in a factory.,_,учёба/работа,,
завод,515,factory,N.Masc.Inan,A1,"Golosa, MiP, МН",2,завода,Gen.Sing,Александр – директор этого завода.,Alexandr is the director of this factory.,_,учёба/работа,,
завод,516,factory,N.Masc.Inan,A1,"Golosa, MiP, МН",3,завод,Nom.Sing,Наш завод находится в Москве.,Our factory is located in Moscow.,_,учёба/работа,,
пить,517,drink,V,A1,"Golosa, MiP, LM, МН",1,пить,Imperf.Inf,Я хочу пить.,I'm thirsty.,_,еда,,
пить,518,drink,V,A1,"Golosa, MiP, LM, МН",2,пил,Imperf.Masc.Sing.Past,Ты пил вчера на вечеринке?,Did you drink alcohol at the party yesterday?,_,еда,,
пить,519,drink,V,A1,"Golosa, MiP, LM, МН",3,пили,Imperf.Plur.Past,"Вчера мы были в гостях, пили сок и вино.",Yesterday we visited our friends and drank juice and wine.,_,еда,,
передача,520,TV show,N.Fem.Inan,A1,"MiP, LM, МН",1,передачи,Gen.Sing,"Выключи телевизор, там нет ни одной интересной передачи.","Turn off the TV, there are no interesting shows on the air.",_,"свободное время, общение",,
передача,521,TV show,N.Fem.Inan,A1,"MiP, LM, МН",2,передача,Nom.Sing,Это моя любимая передача.,This is my favorite TV show.,_,"свободное время, общение",,
передача,522,TV show,N.Fem.Inan,A1,"MiP, LM, МН",3,передачу,Acc.Sing,Давай посмотрим кулинарную передачу.,Let's watch a cooking show.,_,"свободное время, общение, еда",,
университет,523,university,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,университета,Gen.Sing,Вася – студент Московского государственного университета.,Vasya is a student at Moscow State University.,_,учёба/работа,,
университет,524,university,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,университете,Loc.Sing,Маша и Лена сейчас учатся в университете.,Masha and Lena are now studying at the university.,_,учёба/работа,,
университет,525,university,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,университет,Nom.Sing,"Университет – это учебное заведение, в котором получают высшее образование.",A university is an educational institution where people receive a higher education.,_,учёба/работа,,
сентябрь,526,September,N.Masc.Inan,A1,"MiP, LM, МН",1,сентября,Gen.Sing,Первого сентября начинается учебный год.,The academic year starts on the first of September.,_,время,,
сентябрь,527,September,N.Masc.Inan,A1,"MiP, LM, МН",2,сентябре,Loc.Sing,В сентябре начинают опадать листья.,In September the leaves begin to fall.,_,время,,
лето,528,summer,N.Neut.Inan,A1,"LM, МН",1,летом,Ins.Sing,Куда мы поедем летом?,Where will we go in Summer?,_,"мера, время",,
лето,529,summer,N.Neut.Inan,A1,"LM, МН",2,лето,Acc.Sing,Я уезжаю на лето к бабушке.,I am going to spend the summer visiting my grandmother.,_,"мера, время",,
лето,530,summer,N.Neut.Inan,A1,"LM, МН",3,лета,Gen.Sing,"Не успеешь оглянуться, а уже конец лета.",Summer is gone before you know it.,_,"мера, время",,
среда,531,environment,N.Fem.Inan,A1,"Golosa, MiP, LM, МН, Кс",1,среды,Gen.Sing,Охрана окружающей среды – это актуальная проблема сегодня.,Protection of the environment is a relevant problem today.,_,время,,
среда,532,Wednesday,N.Fem.Inan,A1,"Golosa, MiP, LM, МН, Кс",2,среду,Acc.Sing,Я буду в Москве в среду.,I'll be in Moscow on Wednesday.,_,"люди, учёба/работа, здоровье",,
среда,533,environment,N.Fem.Inan,A1,"Golosa, MiP, LM, МН, Кс",3,среде,Loc.Sing,Лена – эколог и очень много знает об окружающей среде.,"Lena is an environmental specialist, and knows a lot about the environment.",_,время,,
врач,534,doctor,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",1,врач,Nom.Sing,Врач сегодня принимает с восьми до четырнадцати часов.,The doctor is seeing patients from 8 a.m. til 2 p.m. today.,_,"люди, учёба/работа, здоровье",,
врач,535,doctor,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",2,врачи,Nom.Plur,В этой поликлинике работают очень хорошие врачи.,Highly skilled doctors work in this clinic.,_,"люди, учёба/работа, здоровье",,
врач,536,doctor,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",3,врачей,Gen.Plur,Я очень боюсь врачей!,I'm very scared of doctors!,_,"люди, учёба/работа, здоровье",,
часы,537,clock,N.Inan,A1,"Golosa, MiP, LM, МН",1,часы,Nom.Plur,Эти часы отстают.,This clock is slow.,_,"мера, время",,
,,,,,,,,,,,,,,
часы,539,clock,N.Inan,A1,"Golosa, MiP, LM, МН",3,часах,Loc.Plur,На моих часах ровно три.,It's 3 o'clock sharp by my watch.,_,"мера, время",,
правый,540,right,A,A1,"MiP, МН",1,прав,Masc.Sing,"Мне кажется, ты не прав.",It seems to me you're not right.,_,"внутренний мир, люди",,
правый,541,right,N.Masc.Anim,A1,"MiP, МН",2,правые,Nom.Plur,В двадцатом веке в Европе были популярны правые партии.,Right-wing parties were popular in Europe in the twentieth century.,_,политика,,
правый,542,right,N.Masc.Anim,A1,"MiP, МН",3,правых,Gen.Plur,Он придерживается правых взглядов.,He is a right-winger.,_,политика,,
курс,543,course of study,N.Masc.Inan,A1,"Golosa, MiP, МН",1,курса,Gen.Sing,Анна – студентка первого курса.,Anna is a first-year student.,_,учёба/работа,,
курс,544,course of study,N.Masc.Inan,A1,"Golosa, MiP, МН",2,курс,Acc.Sing,"Ты студент? Да, перехожу на третий курс.","Are you a student? Yes, I'm entering the third year.",_,учёба/работа,,
курс,545,course of study,N.Masc.Inan,A1,"Golosa, MiP, МН",3,курсе,Loc.Sing,На каком ты курсе?,Which year are you in?,_,учёба/работа,,
цвет,546,color,N.Masc.Inan,A1,"Golosa, MiP, МН",1,цвета,Gen.Sing,Зачем ты купил футболку белого цвета? Она быстро испачкается.,Why did you buy a white T-shirt? It will get dirty soon.,_,описание,,
цвет,547,color,N.Masc.Inan,A1,"Golosa, MiP, МН",2,цвет,Nom.Sing,Синий цвет тебе идёт!,The color blue suits you!,_,описание,,
цвет,548,color,N.Masc.Inan,A1,"Golosa, MiP, МН",3,цвету,Dat.Sing,Эта рубашка не подходит тебе по цвету.,The color of this shirt doesn't suit you.,_,описание,,
размер,549,size,N.Masc.Inan,A1,"Golosa, MiP, МН",1,размера,Gen.Sing,"Это платье слишком маленького размера, поищи другое.","This dress is too small, look for another one.",_,мера,,
размер,550,size,N.Masc.Inan,A1,"Golosa, MiP, МН",2,размеров,Gen.Plur,В этом магазине нет больших размеров.,You can't find large sizes in this shop.,_,мера,,
размер,551,size,N.Masc.Inan,A1,"Golosa, MiP, МН",3,размер,Nom.Sing,Какой у тебя размер обуви?,Which shoe size do you wear?,_,мера,,
ошибка,552,mistake,N.Fem.Inan,A1,"MiP, МН",1,ошибок,Gen.Plur,"Ты написал сложное слово без ошибок, молодец!","You've written a difficult word without mistakes, well done!",_,"люди, учёба/работа",,
ошибка,553,mistake,N.Fem.Inan,A1,"MiP, МН",2,ошибка,Nom.Sing,"Здесь ошибка, имя записано неправильно.","There is a mistake here, the name is entered incorrectly.",_,"люди, учёба/работа",,
ошибка,554,mistake,N.Fem.Inan,A1,"MiP, МН",3,ошибку,Acc.Sing,"Если ты сделал ошибку, нужно это признать.","If you've made a mistake, you must admit it.",_,"люди, учёба/работа",,
клуб,555,club,N.Masc.Inan,A1,"LM, МН",1,клуба,Gen.Sing,Дима – член студенческого футбольного клуба.,Dima is a member of the student football club.,_,"свободное время, общение",,
клуб,556,club,N.Masc.Inan,A1,"LM, МН",2,клуб,Nom.Sing,"Этот клуб очень красивый, но внутри слишком шумно.",This club is very nice but it's too loud inside.,_,"свободное время, общение",,
клуб,557,club,N.Masc.Inan,A1,"LM, МН",3,клубе,Loc.Sing,Вчера в клубе выступала твоя любимая группа.,Yesterday your favorite band played at the club.,_,"свободное время, общение",,
удовольствие,558,pleasure,N.Neut.Inan,A1,"MiP, LM, МН",1,удовольствием,Ins.Sing,"Я бы с удовольствием выпил, но я за рулём сегодня.",I'd love to have a drink but I'm driving today.,_,внутренний мир,,
удовольствие,559,pleasure,N.Neut.Inan,A1,"MiP, LM, МН",2,удовольствие,Acc.Sing,Я получаю удовольствие от плавания.,I really enjoy swimming.,_,внутренний мир,,
удовольствие,560,pleasure,N.Neut.Inan,A1,"MiP, LM, МН",3,удовольствия,Gen.Sing,Маша откусила пирог и закрыла глаза от удовольствия.,Masha has took a bite of the pastry and shut her eyes with pleasure.,,внутренний мир,,
девочка,561,girl,N.Fem.Anim,A1,МН,1,девочка,Nom.Sing,Катя – самая высокая девочка в нашем классе.,Katya is the tallest girl in our class.,_,люди,,
девочка,562,girl,N.Fem.Anim,A1,МН,2,девочку,Acc.Sing,"Миша, пригласи эту девочку к себе на день рождения!","Misha, invite this girl to your birthday party!",_,люди,,
девочка,563,girl,N.Fem.Anim,A1,МН,3,девочки,Nom.Plur,"Маша, смотри, девочки играют в волейбол.","Masha, look, the girls are playing volleyball.",_,люди,,
концерт,564,concert,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,концерт,Acc.Sing,Пойдёшь со мной на концерт?,Will you go to the concert with me?,_,"свободное время, общение",,
концерт,565,concert,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,концерта,Gen.Sing,Вчера по дороге с концерта я встретил Лену.,Yesterday on the way back from the concert I met Lena.,_,"свободное время, общение",,
концерт,566,concert,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,концерте,Loc.Sing,В субботу я была со своими друзьями на концерте.,On Saturday I was at a concert with my friends.,_,"свободное время, общение",,
житель,567,inhabitant,N.Masc.Anim,A1,"MiP, МН",1,жителей,Gen.Plur,В Москве около десяти миллионов жителей.,About 10 million people live in Moscow.,_,люди,,
житель,568,inhabitant,N.Masc.Anim,A1,"MiP, МН",2,жители,Nom.Plur,Жители села добираются в город на автобусе.,People from the village get to the city by bus.,_,люди,,
житель,569,inhabitant,N.Masc.Anim,A1,"MiP, МН",3,жителям,Dat.Plur,Жителям Москвы понравилась новая станция метро.,The people of Moscow liked the new metro station.,_,люди,,
сад,570,garden,N.Masc.Inan,A1,"LM, МН",1,сада,Gen.Sing,"Я буду на работе, забери Машу из детского сада.","I'll be at work, so you take Masha home from daycare.",_,жильё,,
сад,571,garden,N.Masc.Inan,A1,"LM, МН",2,сад,Acc.Sing,У меня на даче есть небольшой сад.,I have small garden at my dacha.,_,жильё,,
сад,572,garden,N.Masc.Inan,A1,"LM, МН",3,саду,Loc.Sing,"В ботаническом саду на этой неделе проходит выставка роз, пойдём?","There is an exhibition of roses at the botanical garden this week, shall we go?",_,жильё,,
поезд,573,train,N.Masc.Inan,A1,"MiP, LM, МН",1,поезд,Nom.Sing,"Кажется, наш поезд опаздывает.",It seems our train is late.,_,путешествие,,
поезд,574,train,N.Masc.Inan,A1,"MiP, LM, МН",2,поезда,Gen.Sing,"Я вышел из поезда и понял, что забыл багаж.",I got out of the train and realized that I had forgotten my luggage.,_,путешествие,,
поезд,575,train,N.Masc.Inan,A1,"MiP, LM, МН",3,поезде,Loc.Sing,В поезде есть туалет и Wifi.,The train has a toilet and Wifi.,_,путешествие,,
трудный,576,difficult,A,A1,"Golosa, MiP, LM, МН",1,трудно,Adverb,Трудно возвращаться к работе после отпуска.,It's hard to come back to work after vacation.,_,внутренний мир,,
трудный,577,difficult,A,A1,"Golosa, MiP, LM, МН",2,труднее,Comparative,Зимой гораздо труднее просыпаться с утра.,It's much more difficult to wake up in the morning in winter.,_,внутренний мир,,
трудный,578,difficult,A,A1,"Golosa, MiP, LM, МН",3,трудней,Comparative,В горах дышать трудней.,It's more difficult to breathe in the mountains.,_,внутренний мир,,
сестра,579,sister,N.Fem.Anim,A1,"LM, МН",1,сестра,Nom.Sing,Моя сестра отлично танцует.,My sister is a good dancer.,_,люди,,
сестра,580,sister,N.Fem.Anim,A1,"LM, МН",2,сестрой,Ins.Sing,Вы с сестрой очень похожи.,You and your sister look a lot alike.,_,люди,,
сестра,581,sister,N.Fem.Anim,A1,"LM, МН",3,сёстры,Nom.Plur,"А я и не знал, что вы сёстры!",I didn't even know that you were sisters!,_,люди,,
цветок,582,flower,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,цветов,Gen.Plur,Коля подарил мне букет из полевых цветов.,Kolya gave me a bouqet of wildflowers.,_,животные/растения,,
цветок,583,flower,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,цветы,Acc.Plur,"Маша любит цветы, особенно пионы.","Masha loves flowers, especially peonies.",_,животные/растения,,
цветок,584,flower,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,цветами,Ins.Plur,У моих родителей в квартире много горшков с цветами.,There are many flower-pots in my parents' apartment.,_,животные/растения,,
милиция,585,police,N.Fem.Inan,A1,"Golosa, MiP, МН",1,милиции,Gen.Sing,Его отец – сотрудник милиции.,His father is a police officer.,_,учёба/работа,,
милиция,586,police,N.Fem.Inan,A1,"Golosa, MiP, МН",2,милиция,Nom.Sing,На место преступления приехала милиция.,The police came to the scene of the crime.,_,учёба/работа,,
милиция,587,police,N.Fem.Inan,A1,"Golosa, MiP, МН",3,милицию,Acc.Sing,"Если соседи опять будут шуметь после одиннадцати вечера, я вызову милицию.",I'll call the police if my neighbors make noise after 11 pm again.,_,учёба/работа,,
чай,588,tea,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,чай,Acc.Sing,Я пью чай без сахара.,I drink tea without sugar.,_,еда,,
чай,589,tea,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,чаю,Gen.Sing,"Кажется, ты замёрз. Хочешь чаю?",It seems like you're cold. Want some tea?,_,еда,,
чай,590,tea,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,чаем,Ins.Sing,Я возьму в дорогу бутерброд с чаем.,I'll take a sandwich with tea to go.,_,еда,,
зима,591,winter,N.Fem.Inan,A1,"LM, МН",1,зиму,Acc.Sing,"Я не люблю зиму, потому что темнеет уже днём.",I don't like winter because it gets dark during the day.,_,"погода, время",,
зима,592,winter,N.Fem.Inan,A1,"LM, МН",2,зимой,Ins.Sing,Зимой моя семья всегда ходит на каток.,In winter my family always goes skating.,_,"погода, время",,
зима,593,winter,N.Fem.Inan,A1,"LM, МН",3,зимы,Gen.Sing,"Я поеду на море в январе, чтобы немного отдохнуть от холодной зимы.",I'll go the beach in January to take a rest from the cold winter.,_,"погода, время",,
сосед,594,neighbour,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",1,соседи,Nom.Plur,Недавно к нам заходили новые соседи.,Our new neighbors stopped by recently.,_,"люди, общение, жильё",,
сосед,595,neighbour,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",2,соседей,Gen.Plur,В общежитии без помощи соседей никуда.,You can't get by in the dormitory without help from your neighbors.,_,"люди, общение, жильё",,
сосед,596,neighbour,N.Masc.Anim,A1,"Golosa, MiP, LM, МН",3,сосед,Nom.Sing,"Мой сосед всегда шумит по утрам, это невозможно терпеть!",My neighbor is always making noise in the morning. It's unbearable.,_,"люди, общение, жильё",,
повторять,597,repeat,V,A1,МН,1,повторяю,Imperf.Sing.1,"Чтобы лучше запомнить новое слово, повтори его несколько раз.","In order to memorize a new word, repeat it several times.",_,"люди, учёба/работа, общение",,
повторять,598,repeat,V,A1,МН,2,повторяет,Imperf.Sing.3,"Учитель повторяет одно и то же, мне не интересно.","The teacher repeats the same thing over and over, I'm not interested.",_,"люди, учёба/работа, общение",,
повторять,599,repeat,V,A1,МН,3,повторять,Imperf.Inf,Завтра я буду повторять материал к занятию и не смогу прийти в гости.,Tomorrow I’ll be studying for my lesson and can’t come and see you.,_,"люди, учёба/работа, общение",,
готовый,600,ready,A,A1,"LM, МН",1,готовы,Plur,"Автобус уже через полчаса, вы готовы?","The bus will come in 30 minutes, are you ready?",_,"описание, учёба/работа, время",,
готовый,601,ready,A,A1,"LM, МН",2,готов,Masc.Sing,"Вася, иди на кухню, обед готов.","Vasya, go to the kitchen, dinner is ready.",_,"описание, учёба/работа, время",,
готовый,602,ready,A,A1,"LM, МН",3,готово,Neut.Sing,У меня уже всё готово к этому учебному году.,I've already prepared everything for this academic year.,_,"описание, учёба/работа, время",,
подарить,603,give a present,V,A1,"Golosa, MiP, LM, МН",1,подарил,Perf.Masc.Sing.Past,"Арина очень хотела эту книгу, поэтому я подарил её на день рождения.","Arina really wanted this book, so I gave it as her birthday present.",_,"люди, общение",,
подарить,604,give a present,V,A1,"Golosa, MiP, LM, МН",2,подарить,Perf.Inf,"Я не знаю, что подарить маме на восьмое марта.",I don't know what to give my mother for the eighth of March.,_,"люди, общение",,
подарить,605,give a present,V,A1,"Golosa, MiP, LM, МН",3,подарила,Perf.Fem.Sing.Past,Что ты подарила невесте и жениху на свадьбу?,What was your wedding present for the bride and groom?,_,"люди, общение",,
господин,606,mister,N.Masc.Anim,A1,МН,1,господин,Nom.Sing,Господин Сахаров – наш новый сосед.,Mister Sakharov is our new neighbor.,_,люди,,
господин,607,mister,N.Masc.Anim,A1,МН,2,господа,Nom.Plur,"Дамы и господа, выключите телефоны, спектакль начинается.","Ladies and gentlemen, turn off your phones, the performance is beginning.",_,люди,,
господин,608,mister,N.Masc.Anim,A1,МН,3,господина,Gen.Sing,"Иван Бунин – автор ""Господина из Сан-Франциско"".","Ivan Bunin is the author of ""The Gentleman from San Francisco"".",_,люди,,
телевизор,609,TV,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",1,телевизору,Dat.Sing,"По телевизору ничего интересного, выключи.","There is nothing interesting on TV, turn it off.",_,свободное время,,
телевизор,610,TV,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",2,телевизор,Acc.Sing,Моя бабушка смотрит телевизор каждый вечер.,My grandmother watches TV every evening.,_,свободное время,,
телевизор,611,TV,N.Masc.Inan,A1,"Golosa, MiP, LM, МН",3,телевизора,Gen.Sing,"У Кати дома нет телевизора, она смотрит новости в Интернете.","Katya doesn’t have a TV at home, she watches news on the Internet.",_,свободное время,,
фамилия,612,surname,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",1,фамилия,Nom.Sing,У Алёны такая красивая фамилия!,Alyona has such a pretty surname!,_,"люди, общение",,
фамилия,613,surname,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",2,фамилию,Acc.Sing,"Я не буду менять фамилию, когда выйду замуж.",I will not change my surname when I get married.,_,"люди, общение",,
фамилия,614,surname,N.Fem.Inan,A1,"Golosa, MiP, LM, МН",3,фамилии,Acc.Plur,Новые студенты должны записать свои фамилии в список курса.,New students must enter their surnames in the list of students.,_,"люди, общение",,
пиво,615,beer,N.Neut.Inan,A1,"Golosa, MiP, LM, МН",1,пиво,Nom.Sing,"Это пиво слишком горькое, я закажу другое.","This beer is too bitter, I'll order a different one.",_,еда,,
