Lemma,ID,Eng Gloss,POS,Level,Word source,Ex. ID,Form,Analysis,Example Sentence,Translation,Reference,Topic(s),
переезжать,2867,move,V,B1,"Golosa, MiP, LM",2,переезжать,Inf,Она не хотела переезжать из этого города.,She didn’t want to move away from that city.,_,жильё,
переезжать,2868,move,V,B1,"Golosa, MiP, LM",3,переезжали,Plur.Past,"Когда я был маленьким, мы с родителями часто переезжали из города в город.","When I was little, my parents and I often moved from town to town.",_,жильё,
ансамбль,2869,ensemble,N.Masc.Inan,B1,"Golosa, LM",1,ансамбль,Acc.Sing,"Я часто задумывался, почему меня не приняли в школьный ансамбль.",I often wondered why I didn't get into the school band.,_,"учёба/работа, свободное время",
ансамбль,2870,ensemble,N.Masc.Inan,B1,"Golosa, LM",2,ансамбля,Gen.Sing,Далее в программе — выступление танцевального ансамбля из Новгорода.,Next in the program is a performance of a dance ensemble from Novgorod.,_,"учёба/работа, свободное время",
ансамбль,2871,ensemble,N.Masc.Inan,B1,"Golosa, LM",3,ансамбли,Nom.Plur,На фестиваль народной музыки собрались ансамбли со всей России.,Ensembles from all over Russia gathered for the folk music festival.,_,"учёба/работа, свободное время",
армия,2872,army,N.Fem.Inan,B1,LM,1,армии,Gen.Sing,Их сын на прошлой неделе вернулся из армии.,Last week their son came back from the army.,_,политика,
армия,2873,army,N.Fem.Inan,B1,LM,2,армию,Acc.Sing,С плохим здоровьем в армию не берут.,One can’t get into the army with health issues.,_,политика,
армия,2874,army,N.Fem.Inan,B1,LM,3,армия,Nom.Sing,Советская армия вела войну с Германией.,Soviet army was at war with Germany.,_,политика,
атмосфера,2875,atmosphere,N.Fem.Inan,B1,LM,1,атмосферу,Acc.Sing,Машины в больших городах загрязняют атмосферу.,Cars in big cities pollute the atmosphere.,_,погода,
атмосфера,2876,atmosphere,N.Fem.Inan,B1,LM,2,атмосфера,Nom.Sing,Атмосфера Земли — уникальное явление в Солнечной системе.,The Earth's atmosphere is a unique phenomenon in the Solar system.,_,погода,
атмосфера,2877,atmosphere,N.Fem.Inan,B1,LM,3,атмосферы,Gen.Sing,Загрязнение атмосферы и океана — глобальная проблема для человечества.,Air and ocean pollution is a global problem for humanity.,_,погода,
атомный,2878,atomic,A,B1,LM,1,атомных,Gen.Plur,В 2018 году в мире было сто девяносто две атомных электростанции.,"In 2018, there were 192 nuclear energy stations in the world.",_,описание,
атомный,2879,atomic,A,B1,LM,2,атомной,Gen.Fem.Sing,Взрыв атомной бомбы — катастрофа для Земного шара.,The explosion of an atomic bomb is a catastrophe for the globe.,_,описание,
атомный,2880,atomic,A,B1,LM,3,атомного,Gen.Neut.Sing,Последствия атомного взрыва были огромными.,The consequences of the atomic explosion were huge.,_,описание,
афиша,2881,poster,N.Fem.Inan,B1,LM,1,афиша,Nom.Sing,Где афиша спектаклей на январь?,Where is the program guide for January?,_,свободное время,
афиша,2882,poster,N.Fem.Inan,B1,LM,2,афиши,Acc.Plur,Ты уже видела афиши нашей любимой группы? Они приезжают в Москву с концертом!,Have you already seen the poster announcing our favorite band? They are coming to Moscow to give a concert!,_,свободное время,
афиша,2883,poster,N.Fem.Inan,B1,LM,3,афише,Loc.Sing,Она увидела на афише двух своих любимых актёров.,She saw two of her favorite actors on the poster.,_,свободное время,
балерина,2884,ballerina,N.Fem.Anim,B1,LM,1,балериной,Ins.Sing,Анна Павлова с детства мечтала стать балериной.,As a child Anna Pavlova dreamed of becoming ballerina.,_,"люди, учёба/работа",
балкон,2885,balcony,N.Masc.Inan,B1,"MiP, LM, МН",1,балкона,Gen.Sing,С балкона она увидела драку и вызвала полицию.,She saw a fight from her balcony and called the police.,_,жильё,
балкон,2886,balcony,N.Masc.Inan,B1,"MiP, LM, МН",2,балконе,Loc.Sing,- Где наши велосипеды? - Они на балконе.,- Where are our bikes? - They are on the balcony.,_,жильё,
балкон,2887,balcony,N.Masc.Inan,B1,"MiP, LM, МН",3,балконов,Gen.Plur,Все квартиры в этом доме без балконов.,All the apartments in this bulding don't have balconies.,_,жильё,
банан,2888,banana,N.Masc.Inan,B1,"Golosa, MiP, LM, МН, Поехали",1,бананы,Nom.Plur,"Я никогда не видела, как растут бананы.",I've never seen how bananas grow.,_,"еда, магазин",
банан,2889,banana,N.Masc.Inan,B1,"Golosa, MiP, LM, МН, Поехали",2,бананами,Ins.Plur,"Он принёс домой корзину с бананами, мандаринами, яблоками, киви и манго. ","He brought home a basket of bananas, mandarine oranges, apples, kiwis, and mangoes.",_,"еда, магазин",
банан,2890,banana,N.Masc.Inan,B1,"Golosa, MiP, LM, МН, Поехали",3,банан,Acc.Sing,Хочешь банан? У меня их много.,Do you want a banana? I have plenty of them.,_,"еда, магазин",
банка,2891,jar,N.Fem.Inan,B1,LM,1,банку,Acc.Sing,Она никак не могла открыть банку с вареньем.,She couldn't open the jar of jam.,_,"еда, магазин",
банка,2892,jar,N.Fem.Inan,B1,LM,2,банки,Gen.Sing,Дай мне попробовать мёд из той банки!,Let me try the honey from that jar!,_,"еда, магазин",
банка,2893,jar,N.Fem.Inan,B1,LM,3,банок,Gen.Plur,На полке стояли десятки банок с солёными огурцами.  ,There were dozens of jars of pickles on the shelf.,_,"еда, магазин",
баскетболист,2894,basketball player,N.Masc.Anim,B1,LM,1,баскетболисты,Nom.Plur,Российские баскетболисты проиграли американцам в финале Олимпийских игр.,The Russian basketball players lost to the Americans in the final match of the Olympic games.,_,"люди, учёба/работа, свободное время",
баскетболист,2895,basketball player,N.Masc.Anim,B1,LM,2,баскетболистов,Gen.Plur,У четырёх баскетболистов перед игрой нашли допинг в крови.,Before the game evidence of doping was found in the blood of four basketball players.,_,"люди, учёба/работа, свободное время",
башня,2896,tower,N.Fem.Inan,B1,"LM, МН",1,башня,Nom.Sing,В каком году была построена Эйфелева башня?,In which year was the Eiffel tower built?,_,жильё,
башня,2897,tower,N.Fem.Inan,B1,"LM, МН",2,башни,Gen.Sing,На пятидесятом этаже этой башни есть смотровая площадка на весь город.,There is an observation deck with a view of the whole city on the 50th floor of this tower.,_,жильё,
башня,2898,tower,N.Fem.Inan,B1,"LM, МН",3,башне,Loc.Sing,Часы на Спасской башне Кремля пробили полночь.,The clock on the Kremlin's Spasskaya tower struck midnight.,_,жильё,
бензин,2899,gasoline,N.Masc.Inan,B1,"Golosa, LM",1,бензина,Gen.Sing,Со следующего года на пять процентов повышается цена за литр бензина.,"Starting from next year, the price per liter of gasoline will increase by five percent.",_,транспорт,
бензин,2900,gasoline,N.Masc.Inan,B1,"Golosa, LM",2,бензин,Nom.Sing,Сколько стоит бензин на этой заправке?,How much does gasoline cost at this gas station?,_,транспорт,
береза,2901,birch,N.Fem.Inan,B1,LM,1,берёза,Nom.Sing,Рядом с нашим домом растёт большая старая берёза.,There is a big old birch tree next to our house.,_,животные/растения,
береза,2902,birch,N.Fem.Inan,B1,LM,2,берёз,Gen.Plur,"Птицы улетели на юг, с берёз облетели все листья — наступила осень.","The birds have flown South, all the leaves have fallen off the birche trees — autumn has arrived.",_,животные/растения,
береза,2903,birch,N.Fem.Inan,B1,LM,3,берёзы,Nom.Plur,В этом лесу берёзы растут вместе с липами.,In this forest birch trees grow alongside linden trees.,_,животные/растения,
беседа,2904,talk,N.Fem.Inan,B1,LM,1,беседы,Gen.Sing,"Из беседы с начальником я понял, что зарплата в следующем году не увеличится.",From the conversation with my boss I understood that there will be no pay raise next year.,_,"общение, свободное время",
беседа,2905,talk,N.Fem.Inan,B1,LM,2,беседу,Acc.Sing,"Извините, что прерываю вашу беседу! Вы не знаете, как найти двадцатый кабинет?",Excuse me for interrupting your conversation! Do you know how can I find room 20?,_,"общение, свободное время",
беседа,2906,talk,N.Fem.Inan,B1,LM,3,беседа,Nom.Sing,"Наша беседа явно затянулась, мне было очень некомфортно.","Our conversation had obviously lasted too long, I felt very uncomfortable.",_,"общение, свободное время",
беспокоиться,2907,worry,V,B1,LM,1,беспокойтесь,Imper.Plur.2,Не беспокойтесь! Вы успеваете на свой рейс.,Don’t worry! You will make it to your flight.,_,"люди, внутренний мир",
беспокоиться,2908,worry,V,B1,LM,2,беспокоился,Masc.Sing.Past,"Он хорошо подготовился к экзамену, и поэтому совершенно не беспокоился за результат.","He prepared well for the exam, so he didn’t worry about the result at all.",_,"люди, внутренний мир",
беспокоиться,2909,worry,V,B1,LM,3,беспокоятся,Plur.3.Pres/Fut,Мои родители всё время беспокоятся за меня.,My parents worry about me all the time.,_,"люди, внутренний мир",
библиотекарь,2910,librarian,N.Masc.Anim,B1,"Golosa, LM",1,библиотекари,Nom.Plur,Библиотекари уверены: интернет никогда полностью не заменит бумажные книги.,Librarians are certain: the internet will never completely replace printed books.,_,"люди, учёба/работа",
библиотекарь,2911,librarian,N.Masc.Anim,B1,"Golosa, LM",2,библиотекарем,Ins.Sing,Тяжело ли работать библиотекарем?,Is it hard to work as a librarian?,_,"люди, учёба/работа",
библиотекарь,2912,librarian,N.Masc.Anim,B1,"Golosa, LM",3,библиотекарей,Gen.Plur,"В нашей библиотеке двенадцать библиотекарей, директор и один охранник.","There are twelve librarians, a director and one security officer at our library.",_,"люди, учёба/работа",
бланк,2913,form,N.Masc.Inan,B1,LM,1,бланков,Gen.Plur,"Он взял несколько чистых бланков, потому что был уверен: он обязательно сделает несколько ошибок.",He took several blank forms to fill out because he was sure that he would make some mistakes.,_,учёба/работа,
бланк,2914,form,N.Masc.Inan,B1,LM,2,бланки,Acc.Plur,Возьмите эти бланки и заполните их.,Take those forms and fill them in.,_,учёба/работа,
бланк,2915,form,N.Masc.Inan,B1,LM,3,бланках,Loc.Plur,На бланках было что-то написано на непонятном мне языке. ,There was something written on the forms in a language I didn't understand.,_,учёба/работа,
бледный,2916,pale,A,B1,LM,1,бледный,Nom.Masc.Sing,Что случилось? Ты весь бледный!,What happened? You are all pale!,_,"описание, здоровье, люди",
бледный,2917,pale,A,B1,LM,2,бледные,Nom.Plur,Почему у них такие бледные лица? С ними точно всё в порядке?,Why do they have such pale faces? Are they all right?,_,"описание, здоровье, люди",
бледный,2918,pale,A,B1,LM,3,бледная,Nom.Fem.Sing,"Видно было, что Катя болеет: похудевшая, бледная и совсем без сил.","It was evident that Katya was ill: she had lost weight, was pale and didn't have any energy.",_,"описание, здоровье, люди",
фонетика,2919,phonetics,N.Fem.Inan,B1,"Golosa, LM",1,фонетики,Gen.Sing,На филилогическом факультете мы прослушали курс фонетики. ,We had a phonetics course at the faculty of phylology.,_,учёба/работа,I don't understand what this is supposed to mean. Does it mean that she doesn't know where the exam is? Or something else? What to prepare for the exam?
фонетика,2920,phonetics,N.Fem.Inan,B1,"Golosa, LM",2,фонетике,Dat.Sing,Нас учит лучший в Москве преподаватель по фонетике.,We have the best phonetics teacher in Moscow.,_,учёба/работа,"The problem here is that по governs the DATIVE, not the Locative case, except in a few rare situations in the meaning 'after'. You cansee that it is DATIVE because it is по русскому языку. So this is NOT a Locative form. However, when I look in the corpus and cococo, it is mostly used in Dative with по, к, and some other constructions. So I think we should accept this example and change the designation of the form to Dat.Sing, right?"
москва,2921,Moscow,N.Fem.Inan,B1,"Golosa, LM",1,москву,Acc.Sing,Через месяц они едут в Москву.,They are going to Moscow in a month.,_,"путешествие, политика",
москва,2922,Moscow,N.Fem.Inan,B1,"Golosa, LM",2,москва,Nom.Sing,"Москва, Берлин и Мельбурн — мои любимые города. ","Moscow, Berlin and Melbourne are my favorite cities.",_,"путешествие, политика",
москва,2923,Moscow,N.Fem.Inan,B1,"Golosa, LM",3,москвы,Gen.Sing,Куда слетать из Москвы на выходные?,Where can one fly to from Moscow for a weekend?,_,"путешествие, политика",
близкий,2924,close,A,B1,"Golosa, LM",1,ближе,Comparative,Что ближе к Москве: Санкт-Петербург или Казань?,What is closer to Moscow: Saint Petersburg or Kazan?,_,"мера, транспорт",
близкий,2925,close,A,B1,"Golosa, LM",2,близка,Fem.Sing,Мне близка позиция Андрея по этому вопросу.,Andrey's position on this issue is similar to mine.,_,"мера, транспорт",
близкий,2926,close,A,B1,"Golosa, LM",3,близкие,Nom.Plur,Моя семья — это самые близкие мне люди.,My family are the people closest to me.,_,"мера, транспорт",
блюдо,2927,dish,N.Neut.Inan,B1,"Golosa, LM, МН",1,блюдо,Nom.Sing,Моё любимое блюдо итальянской кухни — ризотто с морепродуктами.,My favorite Italian food is risotto with seafood.,_,еда,
блюдо,2928,dish,N.Neut.Inan,B1,"Golosa, LM, МН",2,блюда,Acc.Plur,В ресторане мы заказали самые известные мексиканские блюда.,In the restaurant we ordered the most famous Mexican dishes.,_,еда,
блюдо,2929,dish,N.Neut.Inan,B1,"Golosa, LM, МН",3,блюде,Loc.Sing,В этом блюде слишком много соли.,There’s too much salt in this dish.,_,еда,
богатство,2930,wealth,N.Neut.Inan,B1,LM,1,богатства,Gen.Sing,Не надо мне богатства! Я хочу счастья и спокойствия.,I don’t need wealth! I want happiness and peace.,_,"люди, учёба/работа",
богатство,2931,wealth,N.Neut.Inan,B1,LM,2,богатство,Nom.Sing,Моё главное богатство — это мои дети и внуки.,My most important treasures are my children and grandchildren.,_,"люди, учёба/работа",
богатство,2932,wealth,N.Neut.Inan,B1,LM,3,богатствами,Ins.Plur,Россия обладает огромными природными богатствами.,Russia is rich with enormous natural resources.,_,"люди, учёба/работа",
бой,2933,fight,N.Masc.Anim,B1,LM,1,бой,Nom.Sing,Бой за звание чемпиона мира по боксу начался в эти минуты в Мадриде.,The fight for the world boxing champion title began at this moment in Madrid.,_,люди,
бой,2934,fight,N.Masc.Inan,B1,LM,2,боя,Gen.Sing,Почему вы сдались без боя?,Why didi you give up without a fight?,_,люди,
бой,2935,fight,N.Masc.Inan,B1,LM,3,бою,Loc.Sing,Тяжело в учении — легко в бою.,It’s hard while learning but easy while fighting.,_,люди,
болезнь,2936,illness,N.Fem.Inan,B1,"Golosa, LM",1,болезнь,Nom.Sing,"Долгие годы врачи считали, что эта болезнь неизлечима.",For many years doctors believed that this disease is incurable.,_,здоровье,
болезнь,2937,illness,N.Fem.Inan,B1,"Golosa, LM",2,болезни,Gen.Sing,Причина этой болезни до сих пор неизвестна.,The cause of this disease is still unknown.,_,здоровье,
болезнь,2938,illness,N.Fem.Inan,B1,"Golosa, LM",3,болезней,Gen.Plur,Как защитить себя и семью от болезней зимой?,How to protect yourself and your family from diseases in winter,_,здоровье,
болельщик,2939,fan,N.Masc.Anim,B1,LM,1,болельщиков,Gen.Plur,На чемпионат мира по футболу приехали тысячи болельщиков со всего мира.,Thousands of fans from all over the world came to the World Cup.,_,"люди, свободное время",
болельщик,2940,fan,N.Masc.Anim,B1,LM,2,болельщики,Nom.Plur,Болельщики огромной толпой шли на стадион.,A huge crowd of fans were walking to the stadium.,_,"люди, свободное время",
болельщик,2941,fan,N.Masc.Anim,B1,LM,3,болельщик,Nom.Sing,Мой папа — активный футбольный болельщик.,My father is an active soccer fan.,_,"люди, свободное время",
болеть,2942,be ill,V,B1,"Golosa, MiP, LM, МН",1,болит,Sing.3.Pres/Fut,Что у тебя болит? Скажи мне.,What hurts? Tell me.,_,здоровье,
болеть,2943,be ill,V,B1,"Golosa, MiP, LM, МН",2,болел,Masc.Sing.Past,В прошлом году он два раза болел гриппом.,Last year he got the flu twice.,_,здоровье,
болеть,2944,be ill,V,B1,"Golosa, MiP, LM, МН",3,болеть,Inf,Болеть всегда тяжело и неприятно.,It's always difficult and unpleasant to be ill.,_,здоровье,
большинство,2945,majority,N.Neut.Inan,B1,"LM, Поехали",1,большинство,Nom.Sing,Большинство жителей Москвы пользуется общественным транспортом.,The majority of Moscow residents use pubic transport.,_,мера,
большинство,2946,majority,N.Neut.Inan,B1,"LM, Поехали",2,большинства,Gen.Sing,У большинства российских авиакомпаний багаж не входит в стоимость билета.,Checked-in luggage is not included in the price of tickets by the majority of Russian airline companies.,_,мера,
большинство,2947,majority,N.Neut.Inan,B1,"LM, Поехали",3,большинстве,Loc.Sing,В большинстве случаев первый ответ на вопрос и является правильным.,In most cases the first answer to a question is the right one.,_,мера,
борода,2948,beard,N.Fem.Inan,B1,LM,1,бородой,Ins.Sing,Я всего раз видела своего мужа с бородой и усами.,Only once have I seen my husband with a beard and mustache.,_,"описание, люди",
борода,2949,beard,N.Fem.Inan,B1,LM,2,борода,Nom.Sing,"Она считает, что борода идёт любому мужчине.",She thinks that every man looks good in a beard.,_,"описание, люди",
борода,2950,beard,N.Fem.Inan,B1,LM,3,бороду,Acc.Sing,Михаил два месяца отращивал бороду.,Mikhail spent two months growing his beard.,_,"описание, люди",
бороться,2951,fight,V,B1,LM,1,бороться,Inf,Родители учили меня бороться до последнего.,My parents taught me to fight until the very end.,_,"люди, учёба/работа",
бороться,2952,fight,V,B1,LM,2,боролись,Plur.Past,С чем боролись французские студенты в 1968 году?,What were French students fighting for in 1968?,_,"люди, учёба/работа",
бороться,2953,fight,V,B1,LM,3,борется,Sing.3.Pres/Fut,"Эта партия уже пять лет борется за власть, но так и не выиграла выборы.","This party has been fighting for power for 5 years already, but still hasn’t won the elections.",_,"люди, учёба/работа",
борщ,2954,borsch,N.Masc.Inan,B1,"Golosa, MiP, LM, МН",1,борща,Gen.Sing,Петя взял себе в столовой тарелку борща.,Petya bought himself a bowl of borsch at the cafeteria.,_,еда,
борщ,2955,borsch,N.Masc.Inan,B1,"Golosa, MiP, LM, МН",2,борщ,Acc.Sing,Моя бабушка лучше всех умела готовить борщ.,My grandmother made better borsch than anybody else.,_,еда,
борьба,2956,struggle,N.Fem.Inan,B1,LM,1,борьбы,Gen.Sing,Основным способом борьбы с некоторыми инфекциями является вакцинация.,The main way to fight certain infections is by vaccination.,_,"люди, учёба/работа",
борьба,2957,struggle,N.Fem.Inan,B1,LM,2,борьба,Nom.Sing,"Некоторые считают, что жизнь – это постоянная борьба.",Some people believe that life is a constant struggle.,_,"люди, учёба/работа",
борьба,2958,struggle,N.Fem.Inan,B1,LM,3,борьбе,Dat.Sing,В России создали комитет о борьбе с терроризмом.,A Committee on the suppression of terrorism has been established in Russia.,_,"люди, учёба/работа",
ботинок,2959,shoe,N.Masc.Inan,B1,LM,1,ботинках,Loc.Plur,"Оля совершенно замёрзла в осенних ботинках, пока дошла до работы.",Olya got completely frozen in her autumn shoes while walking to work.,_,"одежда, магазин",
ботинок,2960,shoe,N.Masc.Inan,B1,LM,2,ботинки,Acc.Plur,Нужно почистить ботинки после сегодняшней прогулки в лесу.,I need to clean my shoes after today’s walk in the forest.,_,"одежда, магазин",
ботинок,2961,shoe,N.Masc.Inan,B1,LM,3,ботинок,Gen.Plur,У Коли нет зимних ботинок.,Kolya doesn’t have winter shoes.,_,"одежда, магазин",
бояться,2962,be afraid of,V,B1,"Golosa, LM, МН",1,боюсь,Sing.1.Pres/Fut,"Я никогда никому не говорила, что боюсь темноты.",I’ve never told anybody that I’m afraid of darkness.,_,"люди, внутренний мир",
бояться,2963,be afraid of,V,B1,"Golosa, LM, МН",2,боятся,Plur.3.Pres/Fut,Почему люди часто боятся пауков?,Why are people often afraid of spiders?,_,"люди, внутренний мир",
бояться,2964,be afraid of,V,B1,"Golosa, LM, МН",3,боится,Sing.3.Pres/Fut,Моя сестра ужасно боится плавать в море.,My sister is terribly afraid of swimming in the ocean.,_,"люди, внутренний мир",
футбольный,2965,soccer,A,B1,"Golosa, LM",1,футбольный,Nom.Masc.Sing,Футбольный матч между Барселоной и Реалом начнётся в 19:00.,The soccer match between Barcelona and Real starts at 19:00.,_,"описание, свободное время",
футбольный,2966,soccer,A,B1,"Golosa, LM",2,футбольных,Gen.Plur,Около двухсот футбольных фанатов начали массовую драку после матча.,About two hundred soccer fans started a massive fight after the match.,_,"описание, свободное время",
футбольный,2967,soccer,A,B1,"Golosa, LM",3,футбольной,Gen.Fem.Sing,Вчера прошёл последний матч футбольной сборной России перед чемпионатом мира.,Yesterday the Russian soccer team had its last match before the World Cup.,_,"описание, свободное время",
бриться,2968,shave,V,B1,LM,1,бриться,Inf,"Мой брат не любит бриться, поэтому всегда ходит с бородой.","My brother doesn’t like to shave, so he always has beard.",_,люди,
бриться,2969,shave,V,B1,LM,2,брился,Masc.Sing.Past,"По отросшим усам было понятно, что Саша давно не брился.","Judging by his big mustache, it’s been a long time since Sasha last shaved.",_,люди,
бриться,2970,shave,V,B1,LM,3,бреются,Plur.3.Pres/Fut,"Официантам в этом ресторане запрещено ходить на работу с усами или бородой, поэтому они бреются каждый день.","Waiters in this restaurant are not allowed to go to work with a mustache or beard, so they shave every day.",_,люди,
бросать,2971,throw,V,B1,LM,1,бросает,Sing.3.Pres/Fut,"Как только человек бросает курить, он начинает лучше ощущать запахи.",As soon as a person quits smoking their sense of smell improves.,_,"люди, внутренний мир",
бросать,2972,throw,V,B1,LM,2,бросают,Plur.3.Pres/Fut,Во время финального матча чемпионата мира зрители по всему миру бросают свои дела и включают телевизор.,"During the final match of the World Cup, viewers around the world drop everything and turn the TV on.",_,"люди, внутренний мир",
бросать,2973,throw,V,B1,LM,3,бросали,Plur.Past,Мальчики ловили рыбу и снова бросали её в море.,The boys were catching fish and then throwing them back into the sea again.,_,"люди, внутренний мир",
брюки,2974,trousers,N.Inan,B1,"Golosa, LM, МН, Поехали",1,брюки,Nom.Plur,Тебе нравятся эти синие брюки?,Do you like those blue pants?,_,"одежда, магазин",
брюки,2975,trousers,N.Fem.Inan,B1,"Golosa, LM, МН, Поехали",2,брюках,Loc.Plur,В православные церкви женщинам нельзя заходить в брюках.,It is prohibited for women to enter Orthodox churches in pants.,_,"одежда, магазин",
брюки,2976,trousers,N.Inan,B1,"Golosa, LM, МН, Поехали",3,брюк,Gen.Plur,У меня нет летних брюк.,I don't have any summer pants.,_,"одежда, магазин",
буфет,2977,buffet,N.Masc.Inan,B1,"Golosa, LM, МН",1,буфета,Gen.Sing,В нашем университете никогда не было буфета.,Our university never had a buffet.,_,еда,
